Pass/Fail,Tester,Date,Instrument ID,Voltage,UV,B1 (psi),B2 (psi),B3 (psi),B4 (psi),P5 (psi),E1 (psi),E2 (psi),E4 (psi),SW Version,Note,,Copy Paste
Pass,Adam B,9/17/2020,MBT2031,7.04,21.5,3.834,2.335,2.166,3.825,4.204,4.255,7.82,4.28,3.1.16.26,,,
Pass,Adam B,10/19/2020,MBT2031,10,20.34,3.85,2.331,2.173,3.816,4.215,4.262,7.833,4.27,3.1.16.26,,,
Pass,Adam B,11/11/2020,MBT2031,10,20.2,3.829,2.296,2.157,3.813,4.249,4.287,7.825,4.254,3.1.16.26,,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,9/13/2020,MBT1036,8.1,0,3.81,2.375,2.159,3.801,4.21,4.27,7.822,4.261,1.2.6.4,Non-perfect sinusoidal wave,,
Pass,Adam B,1/11/2021,MBT1036,8.12,0,3.859,2.378,2.194,3.845,4.258,4.301,7.861,4.312,1.2.6.4,,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,9/13/2020,E03 V2.9,7.28,30,3.813,2.29,2.168,3.797,4.216,4.268,7.807,4.249,3.1.17.27,,,
Pass,Adam B,11/9/2020,E03 V2.9,10,21,3.808,2.278,2.15,3.789,4.213,4.26,7.795,4.25,3.1.17.27,,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,9/2/2020,MBT1061,7.56,0,3.833,2.371,2.215,3.85,4.241,4.281,7.832,4.287,1.2.6.4,,,
Pass,Adam B,10/28/2020,MBT1061,10,0,3.88,2.396,2.233,3.886,4.251,4.312,7.86,4.326,1.2.6.4,,,
Pass,Adam B,1/11/2021,MBT1061,7.54,0,3.885,2.405,2.254,3.875,4.273,4.315,7.841,4.332,1.2.6.4,,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,8/31/2020,E04,7.56,30,3.823,2.323,2.176,3.832,4.27,4.268,7.874,4.278,3.1.17.27,,,
Pass,Adam B,9/24/2020,E04,7.6,21.5,3.848,2.318,2.191,3.809,4.246,4.26,7.866,4.263,3.1.17.27,,,Pass
Pass,Adam B,11/2/2020,E04,10,20.71,3.752,2.273,2.153,3.824,4.209,4.218,7.828,4.268,3.1.17.27,,,
Pass,Adam B,12/17/2020,E04,7.62,21.26,3.822,2.342,2.162,3.828,4.268,4.28,7.897,4.283,3.1.17.27,,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,8/31/2020,MBT2102,7.08,30,3.842,2.298,2.259,3.8,4.188,4.225,7.803,4.238,3.1.16.26,,,
Pass,Adam B,10/1/2020,MBT2102,7.04,10.94,3.81,2.288,2.148,3.798,4.18,4.214,7.794,4.229,3.1.17.27,,,1/17/2021
Pass,Adam B,10/26/2020,MBT2102,10,11.14,3.878,2.302,2.16,3.84,4.195,4.225,7.823,4.24,3.1.17.27,,,
Pass,Adam B,11/16/2020,MBT2102,10,10.75,3.77,2.282,2.138,3.792,4.195,4.23,7.775,4.226,3.11.16,Updated from 3.1.1727,,
,,,,,,,,,,,,,,,,,
Pass,Adam B,8/31/2020,MBT2045,7,30,3.756,2.284,2.145,3.775,4.155,4.179,7.788,4.218,3.10.10,,,
Pass,Adam B,10/19/2020,MBT2045,10,11.62,3.814,2.335,2.199,3.865,4.38,4.33,7.96,4.315,3.1.17.27,,,
Pass,Adam B,12/17/2020,MBT2045,7.06,12.55,3.859,2.34,2.191,3.851,4.247,4.325,7.883,4.308,3.1.17.27,,,
Pass,Adam B,1/11/2021,MBT2045,7,13.3,3.845,2.36,2.195,3.855,4.288,4.327,7.909,4.317,3.1.17.27,,,
